parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,confidence_tier,action_type
ADJD5570,2029,Bold Parque Arauco II,FANNY PACK AC SIB BLACK/WHITE,Equipment,FANNY PACK,1,1,51,,,19990,16990,15%,2.0,14990,30%,6.0,33980,89940,55960,MEDIUM,Product is 51 weeks old,1.0,HIGH,decrease
ADJI4333,2007,Bold Plaza Sur,CAMPUS 00s CF EL I DRKGR/FTWH/GUM2,Footwear,Street,1,6,46,,,42990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 46 weeks old,0.999,MEDIUM,decrease
ADJI4333,2025,Bold Maipu,CAMPUS 00s CF EL I DRKGR/FTWH/GUM2,Footwear,Street,1,6,46,,,42990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 46 weeks old,1.0,MEDIUM,decrease
ADJI4334,2012,Bold Vivo Coquimbo,CAMPUS 00s I GREY,Footwear,Street,1,6,41,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 41 weeks old,1.0,MEDIUM,decrease
ADJI4334,2032,Bold Tobalaba,CAMPUS 00s I GREY,Footwear,Street,1,6,41,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 41 weeks old,1.0,MEDIUM,decrease
NIDO7392063,2002,Bold Plaza Norte,POLERA SS M NSW PREM ESSNTL SUST TEE,Apparel,Street,1,4,73,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 73 weeks old,0.999,MEDIUM,decrease
NIDO7392063,2003,Bold Iquique,POLERA SS M NSW PREM ESSNTL SUST TEE,Apparel,Street,1,4,73,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 73 weeks old,0.999,MEDIUM,decrease
NIDO7392063,2006,Bold El Trébol,POLERA SS M NSW PREM ESSNTL SUST TEE,Apparel,Street,1,4,73,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 73 weeks old,1.0,MEDIUM,decrease
NIDO7392063,2013,Bold Plaza Arica,POLERA SS M NSW PREM ESSNTL SUST TEE,Apparel,Street,1,4,73,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 73 weeks old,1.0,MEDIUM,decrease
NIDO7392063,2028,Bold Costanera II,POLERA SS M NSW PREM ESSNTL SUST TEE,Apparel,Street,1,4,73,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 73 weeks old,1.0,MEDIUM,decrease
NIDO7392101,2006,Bold El Trébol,POLERA SS M NSW PREM ESSNTL BLACK,Apparel,Street,1,4,125,,,44990,34990,20%,1.0,29990,30%,3.0,34990,89970,54980,MEDIUM,Product is 125 weeks old,0.999,MEDIUM,decrease
ADJX3880,2037,Bold Vespucio III,Polera ss  BLACK,Apparel,Top,1,4,27,,,34990,24990,30%,1.0,19990,40%,4.0,24990,79960,54970,MEDIUM,In decline stage; Product is 27 weeks old,1.0,MEDIUM,decrease
NE11591021,2024,Bold Puente,CAP 950 OAKLAND ATHLETICS GREEN,Equipment,Street,1,1,54,,,34990,24990,30%,1.0,19990,40%,4.0,24990,79960,54970,MEDIUM,Product is 54 weeks old,1.0,MEDIUM,decrease
NE60565240,2006,Bold El Trébol,CAP 940 LOS ANGELES DODGERS YLW,Equipment,Street,1,1,52,,,32990,24990,30%,1.0,19990,40%,4.0,24990,79960,54970,MEDIUM,Product is 52 weeks old,1.0,MEDIUM,decrease
NIDB0456010,2029,Bold Parque Arauco II,BOLSO NK HERITAGE,Equipment,Street,1,1,161,,,32990,24990,30%,1.0,19990,40%,4.0,24990,79960,54970,MEDIUM,Product is 161 weeks old,1.0,MEDIUM,decrease
NIHM4415010,2036,Bold Chiloé,FANNY PACK NK HRTGE PTCH,Equipment,Street,1,1,49,,,33990,24990,30%,1.0,19990,40%,4.0,24990,79960,54970,MEDIUM,Product is 49 weeks old,1.0,MEDIUM,decrease
NISX7664010,2002,Bold Plaza Norte,TRIPACK EVERYDAY CUSH CREW,Equipment,Street,2,3,164,,,15990,14990,0%,6.5,12990,15%,11.7,97435,151983,54548,MEDIUM,Product is 164 weeks old; Discounted in other channels,1.0,HIGH,decrease
NIDX9655902,2005,Bold Ahumada,TRIPACK U J ED CUSH POLY ANKLE 144 T/ L,Equipment,Street,1,2,124,,,24990,19990,20%,1.8,16990,30%,5.2,34982,89197,54215,MEDIUM,Product is 124 weeks old,1.0,MEDIUM,decrease
ADJI8545,2017,Bold Independencia,POLERA SS TREFOIL ESS BLACK,Apparel,Top,1,4,56,,,24990,16990,30%,1.2,14990,40%,5.0,21237,74950,53712,MEDIUM,Product is 56 weeks old,1.0,MEDIUM,decrease
NIDC7485010,2012,Bold Vivo Coquimbo,POLERA SS M J JUMPMAN EMB,Apparel,Training,1,5,166,,,29990,24990,20%,1.5,19990,30%,4.5,37485,89955,52470,MEDIUM,Product is 166 weeks old,1.0,MEDIUM,decrease
NIDC7485010,2020,Bold Florida Center,POLERA SS M J JUMPMAN EMB,Apparel,Training,1,5,163,,,29990,24990,20%,1.5,19990,30%,4.5,37485,89955,52470,MEDIUM,Product is 163 weeks old,1.0,MEDIUM,decrease
NIFZ2055222,2021,Bold Puerto Montt,BEANIE U J TERRA ESS,Equipment,Street,1,1,49,,,29990,24990,20%,1.5,19990,30%,4.5,37485,89955,52470,MEDIUM,Product is 49 weeks old,1.0,MEDIUM,decrease
NIFZ2055222,2025,Bold Maipu,BEANIE U J TERRA ESS,Equipment,Street,1,1,49,,,29990,24990,20%,1.5,19990,30%,4.5,37485,89955,52470,MEDIUM,Product is 49 weeks old,1.0,MEDIUM,decrease
NISX7667010,2034,Bold San Bernardo,TRIPACK EVERYDAY CSH ANKL,Equipment,Street,2,3,167,,,16990,16990,0%,5.2,14990,15%,9.5,89197,141655,52458,MEDIUM,Product is 167 weeks old; Discounted in other channels,1.0,HIGH,decrease
NISX7664010,2004,Bold Plaza Oeste,TRIPACK EVERYDAY CUSH CREW,Equipment,Street,2,3,164,,,15990,14990,0%,6.2,12990,15%,11.2,93687,146137,52450,MEDIUM,Product is 164 weeks old; Discounted in other channels,0.995,HIGH,decrease
NIAR4997101,2013,Bold Plaza Arica,POLERA SS M NSW CLUB WHITE,Apparel,Training,3,4,120,,,24990,24990,0%,4.8,19990,15%,8.6,118702,170914,52212,MEDIUM,Product is 120 weeks old; Discounted in other channels,0.999,HIGH,decrease
NPMA9190023,2016,Bold Temuco,CROSSBODY JAM BLACKTOP,Equipment,FANNY PACK,1,1,6,,,24990,24990,0%,4.8,19990,15%,8.6,118702,170914,52212,MEDIUM,Velocity declining,0.994,MEDIUM,decrease
NIIF3055010,2029,Bold Parque Arauco II,POLERA M J NC RCRDS GFX,Apparel,Top,1,4,3,,,36990,34990,0%,1.7,29990,20%,3.7,58316,109963,51646,MEDIUM,Velocity declining; Discounted in other channels,0.997,MEDIUM,decrease
ADJQ6386,2029,Bold Parque Arauco II,CAMPUS 00s C BLACK,Footwear,Street,1,8,41,,,59990,59990,0%,1.0,49990,20%,2.2,59990,109978,49988,MEDIUM,Product is 41 weeks old; Discounted in other channels,0.95,MEDIUM,decrease
NP95B483023,2020,Bold Florida Center,SHORT JDB BIG JUMPMAN BLACK,Apparel,Street,2,4,58,,,29990,29990,0%,2.0,24990,20%,4.4,59980,109956,49976,MEDIUM,Product is 58 weeks old; Discounted in other channels,0.922,HIGH,decrease
NE70353222,2032,Bold Tobalaba,JOCKEY 9FIFTY CHIBUL OTC2 T OSFA,Equipment,Street,1,1,112,,,34990,34990,0%,1.2,24990,30%,3.8,43737,93712,49975,MEDIUM,Product is 112 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
NP95D313R78,2022,Bold Antofagasta,SHORT JDB MJ DF SPORT DIAMOND RED,Apparel,Street,1,4,72,,,34990,34990,0%,1.2,24990,30%,3.8,43737,93712,49975,MEDIUM,Product is 72 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
NIFN4672010,2031,Bold Valdivia,BEANIE U J PEAK ESS,Equipment,Street,1,1,49,,,29990,19990,30%,1.0,16990,40%,4.0,19990,67960,47970,MEDIUM,Product is 49 weeks old,1.0,MEDIUM,decrease
NIAR4997013,2004,Bold Plaza Oeste,POLERA M NSW CLUB,Apparel,Training,2,4,166,,,24990,24990,0%,2.5,19990,20%,5.5,62475,109945,47470,MEDIUM,Product is 166 weeks old; Discounted in other channels,0.993,HIGH,decrease
NIAR4997101,2020,Bold Florida Center,POLERA SS M NSW CLUB WHITE,Apparel,Training,2,4,120,,,24990,24990,15%,2.5,19990,20%,5.5,62475,109945,47470,MEDIUM,Product is 120 weeks old,1.0,HIGH,decrease
NIBQ4639003,2011,Bold Imperio,Nike Offcourt,Footwear,Sandals,1,6,18,,,36990,29990,20%,1.0,24990,30%,3.0,29990,74970,44980,MEDIUM,In clearance stage,0.994,MEDIUM,decrease
NIFV0375010,2013,Bold Plaza Arica,POLERA M NSW TEE CLUB MAX BLACK,Apparel,Street,1,5,83,,,36990,29990,20%,1.0,24990,30%,3.0,29990,74970,44980,MEDIUM,Product is 83 weeks old,1.0,MEDIUM,decrease
NP95D313023,2008,Bold Calama,SHORT JDB MJ DF SPORT DIAMOND BLCK,Apparel,Street,1,4,79,,,34990,29990,20%,1.0,24990,30%,3.0,29990,74970,44980,MEDIUM,Product is 79 weeks old,0.999,MEDIUM,decrease
NP95D313023,2016,Bold Temuco,SHORT JDB MJ DF SPORT DIAMOND BLCK,Apparel,Street,1,4,78,,,34990,29990,20%,1.0,24990,30%,3.0,29990,74970,44980,MEDIUM,Product is 78 weeks old,1.0,MEDIUM,decrease
NE70556867,2032,Bold Tobalaba,CAP 950 LA LAKERS BLACK,Equipment,Street,1,1,112,,,34990,34990,0%,1.0,19990,40%,4.0,34990,79960,44970,MEDIUM,Product is 112 weeks old; Discounted in other channels,0.95,MEDIUM,decrease
NISX7664964,2011,Bold Imperio,TRIPACK EVERYDAY CUSHIONED CREW,Equipment,Street,2,2,167,,,15990,14990,0%,3.2,12990,20%,7.2,48717,92878,44161,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.995,HIGH,decrease
NIFQ4359010,2014,Bold Marina,SHORT M NK CLUB KNIT,Apparel,Street,1,4,111,,,38990,39990,0%,1.2,24990,30%,3.8,49987,93712,43725,MEDIUM,Product is 111 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
NIFN3861010,2034,Bold San Bernardo,HOODIE M NK CLUB BB FZ BLACK,Apparel,Street,1,4,49,,,66990,69990,0%,1.5,54990,15%,2.7,104985,148473,43488,MEDIUM,Product is 49 weeks old; Discounted in other channels,0.986,MEDIUM,decrease
ADJI8544,2024,Bold Puente,POLERA SS TREFOIL ESS WHITE,Apparel,Top,1,4,58,,,24990,16990,30%,1.0,14990,40%,4.0,16990,59960,42970,MEDIUM,Product is 58 weeks old,1.0,MEDIUM,decrease
ADJI8545,AB20,Centro Logistico Bold,POLERA SS TREFOIL ESS BLACK,Apparel,Top,1,4,56,,,24990,16990,30%,1.0,14990,40%,4.0,16990,59960,42970,MEDIUM,Product is 56 weeks old,1.0,MEDIUM,decrease
NISX7673010,2021,Bold Puerto Montt,CALCETINES U NK EVERYDAY NS 3P,Equipment,Street,1,2,163,,,15990,12990,20%,2.5,9990,30%,7.5,32475,74925,42450,MEDIUM,Product is 163 weeks old,1.0,HIGH,decrease
NIDV9436010,2005,Bold Ahumada,Mochila BRSLA BKPK N° MISC,Equipment,Training,1,1,8,,,37990,39990,0%,3.0,29990,15%,5.4,119970,161946,41976,MEDIUM,Velocity collapsed (trend < 0.5),0.993,HIGH,decrease
NE11591077,2017,Bold Independencia,MLB BASIC SNAP 950 BOSRED BLKWHI,Equipment,Street,1,1,64,,,34990,34990,0%,1.0,24990,30%,3.0,34990,74970,39980,MEDIUM,Product is 64 weeks old; Discounted in other channels,0.998,MEDIUM,decrease
NISX7667010,2017,Bold Independencia,TRIPACK EVERYDAY CSH ANKL,Equipment,Street,2,3,167,,,16990,16990,0%,4.0,14990,15%,7.2,67960,107928,39968,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.993,HIGH,decrease
NISX7667010,2030,Bold Alameda,TRIPACK EVERYDAY CSH ANKL,Equipment,Street,2,3,167,,,16990,16990,0%,4.0,14990,15%,7.2,67960,107928,39968,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.992,HIGH,decrease
NIIM9797010,2037,Bold Vespucio III,Short M J JUMPMAN,Apparel,Street,1,4,26,,,36990,34990,0%,1.2,29990,20%,2.8,43737,82472,38735,MEDIUM,Product is 26 weeks old; Discounted in other channels,0.999,MEDIUM,decrease
ADJI8545,2021,Bold Puerto Montt,POLERA SS TREFOIL ESS BLACK,Apparel,Top,1,4,56,,,24990,19990,20%,1.2,16990,30%,3.8,24987,63712,38725,MEDIUM,Product is 56 weeks old,1.0,MEDIUM,decrease
NP9A0631023,2017,Bold Independencia,BANANO JAN AIRBORNE FESTIVAL,Equipment,Street,1,1,164,,,26990,24990,0%,2.0,19990,20%,4.4,49980,87956,37976,MEDIUM,Product is 164 weeks old; Discounted in other channels,0.997,HIGH,decrease
NISX7664964,2031,Bold Valdivia,TRIPACK EVERYDAY CUSHIONED CREW,Equipment,Street,1,2,167,,,15990,14990,0%,2.8,12990,20%,6.1,41222,78589,37367,MEDIUM,Product is 167 weeks old; Discounted in other channels,1.0,HIGH,decrease
