parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
HK1155130BHCM,7501,Hoka Costanera,RINCON 4 BHCM M,Footwear,Running,1,9,15,1.0,1.0,129990,90990,30%,1.0,103990,20%,0.8,91000,77992,-13007,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,0.066,increase
HK1122931CDNN,7502,Hoka Marina,M CREW RUN SOCK 3-PACK CDNN,Equipment,Running,2,2,2,5.0,2.5,44990,39990,15%,2.0,44990,Full price,1.5,80990,67485,-13505,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price; Size curve healthy (2/2),0.945,increase
HK1162030BKSV,AB75,Centro Logistico Hoka,M CLIFTON 10 BKSV,Footwear,Running,1,11,0,1.0,1.0,149990,126990,15%,1.0,149990,Full price,0.8,127492,112492,-14999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.015,increase
HK1162031GRTM,AB75,Centro Logistico Hoka,W CLIFTON 10 GRTM,Footwear,Running,1,7,0,1.0,1.0,149990,126990,15%,1.0,149990,Full price,0.8,127492,112492,-14999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.039,increase
HK1162031WWH,AB75,Centro Logistico Hoka,CLIFTON 10 WWH W,Footwear,Running,1,9,23,2.0,2.0,149990,126990,15%,1.0,149990,Full price,0.8,127492,112492,-14999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,1.0,increase
HK1168716FYP,AB75,Centro Logistico Hoka,M CHALLENGER 8 FYP,Footwear,Trail Running,1,3,0,15.0,15.0,154990,131990,15%,1.0,154990,Full price,0.8,131742,116242,-15499,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.019,increase
HK1147791MPLC,7502,Hoka Marina,SPEEDGOAT 6 MPLC M,Footwear,Running,1,10,19,1.0,1.0,154990,107990,30%,1.0,123990,20%,0.8,108500,92992,-15507,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,0.999,increase
HK1147952DRDF,7501,Hoka Costanera,TOR SUMMIT DRDF,Footwear,Street,1,11,34,3.0,3.0,209990,125990,40%,1.0,146990,30%,0.8,126000,110242,-15757,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price,0.999,increase
HK1162011BWHT,AB75,Centro Logistico Hoka,BONDI 9 BWHT M,Footwear,Running,1,14,22,2.0,2.0,169990,143990,15%,1.0,169990,Full price,0.8,144491,127492,-16998,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.999,increase
HK1168690SSTC,7501,Hoka Costanera,ARAHI 8 SSTC M,Footwear,Running,1,9,24,,,144990,101990,30%,1.2,115990,20%,0.9,126875,108740,-18134,INCREASE,Selling 1.2 u/sem at 30% off -- test higher price; Sales accelerating,1.0,increase
HK1168723NNR,AB75,Centro Logistico Hoka,MAFATE 5 NNR,Footwear,Running,1,8,12,1.0,1.0,184990,156990,15%,1.0,184990,Full price,0.8,157242,138742,-18499,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.013,increase
HK1141690SLTB,7501,Hoka Costanera,M SKYFLOW JACKET SLTB,Apparel,Top,1,4,0,1.0,1.0,119990,95990,20%,1.0,101990,15%,0.8,96000,76492,-19507,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price,0.035,increase
HK1147790AFF,7501,Hoka Costanera,MACH 6 AFF M,Footwear,Running,2,10,17,4.0,2.0,139990,83990,40%,2.0,97990,30%,1.5,168000,146985,-21015,INCREASE,Selling 2.0 u/sem at 40% off -- test higher price,0.998,increase
HK1171894BBLC,7501,Hoka Costanera,M KAWANA 3 BBLC,Footwear,Outdoor,1,6,0,1.0,1.0,139990,111990,20%,1.0,118990,15%,0.8,112000,89242,-22757,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price,0.025,increase
HK1147790BWHT,7501,Hoka Costanera,MACH 6 BWHT M,Footwear,Running,2,11,15,1.0,0.4,139990,83990,40%,2.2,97990,30%,1.7,189000,165358,-23641,INCREASE,Selling 2.2 u/sem at 40% off -- test higher price; Sales accelerating,0.998,increase
HK1162530GVLC,AB75,Centro Logistico Hoka,M KAHA 3 GTX GVLC,Footwear,Outdoor,1,5,0,7.0,7.0,239990,203990,15%,1.0,239990,Full price,0.8,203992,179992,-23999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.031,increase
HK1162531GRK,AB75,Centro Logistico Hoka,W KAHA 3 GTX GRK,Footwear,Trail Running,1,5,1,12.0,12.0,239990,203990,15%,1.0,239990,Full price,0.8,203992,179992,-23999,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price,0.018,increase
HK1162031SLSSN,AB75,Centro Logistico Hoka,W CLIFTON 10 SLSSN,Footwear,Running,1,6,1,14.0,14.0,149990,119990,20%,1.0,126990,15%,0.8,119992,95242,-24749,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price,0.033,increase
HK1171929VWN,AB75,Centro Logistico Hoka,W SPEEDGOAT 7 VWN,Footwear,Trail Running,1,1,0,16.0,8.0,164990,135990,15%,2.0,164990,Full price,1.5,272234,247485,-24749,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price; Size curve healthy (1/1),0.073,increase
