parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,confidence_tier,action_type
OKFOS90165102E,D016,D016,BARREL WALLET 02E T OSFA,Equipment,Outdoor,1,1,33,,,29990,19990,30%,1.0,24990,20%,0.8,19990,18742,-1247,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.442,SPECULATIVE,increase
OK40782502E,D012,Oakley Antofagasta,POLERA SS OAKLEY METAL RISE BLK,Apparel,Street,3,5,14,2.0,0.4,34990,19990,40%,5.2,24990,30%,4.1,104947,103655,-1292,INCREASE,Selling 5.2 u/sem at 40% off -- test higher price; Sales accelerating,1.0,HIGH,increase
OK40782502E,E001,Oakley Portal Rancagua,POLERA SS OAKLEY METAL RISE BLK,Apparel,Street,2,5,14,,,34990,19990,40%,5.2,24990,30%,4.1,104947,103655,-1292,INCREASE,Selling 5.2 u/sem at 40% off -- test higher price,1.0,HIGH,increase
OKFOA4068508A6,D014,Oakley Parque Arauco,POLERA SM SKATE SCENE 8A6 T XL,Apparel,Top,1,5,22,,,34990,19990,40%,1.2,24990,30%,0.9,24987,23428,-1559,INCREASE,Selling 1.2 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating,1.0,SPECULATIVE,increase
OKFOA40621632F,D011,Oakley Marina,CAPE CARGO RC HYBRID 20 SHORT 32F T 32,Apparel,Bottom,1,4,19,5.0,3.3,49990,34990,30%,1.5,44990,20%,1.1,52485,50613,-1871,INCREASE,Selling 1.5 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado,1.0,SPECULATIVE,increase
OKFOA406858100,D004,Oakley Alto Las Condes,POLERA MC WIRED MTN 100 T S,Apparel,Top,1,5,19,,,32990,19990,40%,1.5,24990,30%,1.1,29985,28113,-1871,INCREASE,Selling 1.5 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating,1.0,SPECULATIVE,increase
SERV0000000116,D014,Oakley Parque Arauco,CRIZAL SAPPHIRE HR CARA INTERNA,,,1,1,12,,,22990,16990,20%,1.2,19990,15%,0.9,21237,18740,-2496,INCREASE,Selling 1.2 u/sem at 20% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating; Size curve healthy (1/1),1.0,SPECULATIVE,increase
OKFOA40479602E,D013,Oakley Puerto Montt,FOUNDATIONAL FZ HOODIE 3.0 02E T S,Apparel,Top,1,4,27,6.0,6.0,59990,39990,30%,1.0,49990,20%,0.8,39990,37492,-2497,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado,1.0,SPECULATIVE,increase
OKFOA40545668S,D014,Oakley Parque Arauco,MTL SWEATPANT 68S T XXL,Apparel,Bottom,1,5,34,,,69990,39990,40%,1.0,49990,30%,0.8,39990,37492,-2497,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,0.999,SPECULATIVE,increase
OKFOA4067795GM,D004,Oakley Alto Las Condes,MAVEN COST LS 5GM T XL,Apparel,Top,1,4,28,,,59990,39990,30%,1.0,49990,20%,0.8,39990,37492,-2497,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado,0.997,SPECULATIVE,increase
OKFOA40621632F,D002,Oakley Costanera Center,CAPE CARGO RC HYBRID 20 SHORT 32F T 32,Apparel,Bottom,2,4,22,,,49990,34990,30%,2.5,44990,20%,1.9,87475,84356,-3118,INCREASE,Selling 2.5 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating,1.0,SPECULATIVE,increase
OK0OO944001,D011,Oakley Marina,CLIFDEN MATTE BLACK PRIZM BLACK IRIDIUM,Eyewear,Performance,1,1,15,1.0,0.7,204990,129990,30%,1.5,169990,20%,1.1,194985,191238,-3746,INCREASE,Selling 1.5 u/sem at 30% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.997,SPECULATIVE,increase
OK40769100N,D011,Oakley Marina,POLERA OAKLEY RESERVE ELLIPSE GRPH,Apparel,Top,1,5,14,2.0,1.3,39990,24990,40%,1.5,29990,30%,1.1,37485,33738,-3746,INCREASE,Selling 1.5 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating,1.0,SPECULATIVE,increase
OKFOA4071160B5,D002,Oakley Costanera Center,CAMISA MC WIRED MTN 0B5 T M,Apparel,Top,1,5,12,,,74990,44990,40%,1.0,54990,30%,0.8,44990,41242,-3747,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,0.977,SPECULATIVE,increase
OKFOA407454100,D004,Oakley Alto Las Condes,SOHO GEN SS TEE,Apparel,Top,1,5,3,,,37990,29990,20%,1.0,34990,15%,0.8,29990,26242,-3747,INCREASE,Selling 1.0 u/sem at 20% off -- test higher price; Sin elasticidad — volumen estimado,0.999,SPECULATIVE,increase
