parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
BMWSS075337W25,B046,Bamers Plaza Vespucio II,WOMEN PIAMONTE LEATHER CARAMEL 36,Footwear,Slipper,2,6,50,49990,45990,15%,2.2,39990,20%,5.0,104042,197950,93908,MEDIUM,Size curve breaking (40% attrition); Product is 50 weeks old,0.999,decrease
BMBTCL031980S2,B058,Bamers Florida Center II,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,2,6,167,22490,18990,15%,2.8,12990,40%,11.0,53597,142890,89292,MEDIUM,Product is 167 weeks old,1.0,decrease
BMWSN074601W25,B012,Bamers Mall Center Concep,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,2,6,63,24990,16990,30%,2.0,14990,40%,8.0,34490,119920,85430,MEDIUM,Product is 63 weeks old,1.0,decrease
BMBTCL031980S2,B022,Bamers Plaza Egaña,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,2,6,167,24990,21990,15%,2.2,14990,40%,9.0,50613,134910,84296,MEDIUM,Product is 167 weeks old,1.0,decrease
BMBCL031980S2,B022,Bamers Plaza Egaña,UNISEX AIRLINE NAVY WHITE 25,Footwear,Clogs,2,5,167,19990,19990,0%,3.0,11990,40%,12.0,59970,143880,83910,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.996,decrease
BMKCL004325W2,B010,Bamers Portal Osorno,REFUGIO LINE NAVY RED 26,Footwear,Clogs,2,5,166,24990,24990,0%,2.2,14990,40%,9.0,56227,134910,78682,MEDIUM,Product is 166 weeks old; Discounted in other channels,0.994,decrease
BMBCL031980S2,B010,Bamers Portal Osorno,UNISEX AIRLINE NAVY WHITE 25,Footwear,Clogs,3,5,167,19990,19990,0%,3.5,13990,30%,10.5,69965,146895,76930,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.997,decrease
BMKSN073816S5,B052,Bamers Coquimbo,UNISEX KIDS KEPLER ATHLETIC WHITE 26,Footwear,Sneakers,2,5,71,19990,13990,30%,2.2,11990,40%,9.0,31500,107910,76410,MEDIUM,Product is 71 weeks old,0.999,decrease
BMKSN073816S5,B056,Bamers Rosas,UNISEX KIDS KEPLER ATHLETIC WHITE 26,Footwear,Sneakers,2,5,72,19990,13990,30%,2.2,11990,40%,9.0,31500,107910,76410,MEDIUM,Product is 72 weeks old,0.999,decrease
BMWSN074601W25,B011,Bamers Plaza Tobalaba,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,62,24990,17990,30%,1.8,14990,40%,7.0,30625,104930,74305,MEDIUM,Product is 62 weeks old,1.0,decrease
BMWSN074601W25,B050,Bamers Curico II,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,62,24990,17990,30%,1.8,14990,40%,7.0,30625,104930,74305,MEDIUM,Product is 62 weeks old,1.0,decrease
BMWSN074601W25,B052,Bamers Coquimbo,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,63,24990,17990,30%,1.8,14990,40%,7.0,30625,104930,74305,MEDIUM,Product is 63 weeks old,1.0,decrease
BMTCL004301W2,B049,Bamers El Trebol II,REFUGIO LINE BLACK  35,Footwear,Clogs,2,6,163,26990,26990,0%,2.0,15990,40%,8.0,53980,127920,73940,MEDIUM,Product is 163 weeks old; Discounted in other channels,0.867,decrease
BMTCL004325W2,B003,Bamers Open Plaza Rancagu,REFUGIO LINE NAVY RED 30,Footwear,Clogs,2,6,166,26990,26990,0%,2.0,15990,40%,8.0,53980,127920,73940,MEDIUM,Product is 166 weeks old; Discounted in other channels,0.96,decrease
BMMCL0319OVS5,B019,Bamers Portal La Reina,MEN AIRLINE OLIVE 40,Footwear,Clogs,2,6,66,26990,23990,15%,3.0,21990,20%,6.6,72885,145134,72249,MEDIUM,Size curve breaking (50% attrition); Product is 66 weeks old,0.988,decrease
BMWSS075337W25,B012,Bamers Mall Center Concep,WOMEN PIAMONTE LEATHER CARAMEL 36,Footwear,Slipper,1,6,50,49990,45990,15%,1.7,39990,20%,3.7,77068,146630,69561,MEDIUM,Size curve breaking (40% attrition); Product is 50 weeks old,0.923,decrease
BMWSS075378,B052,Bamers Coquimbo,WOMEN PIAMONTE LEATHER BEIGE 35,Footwear,Slipper,1,6,49,49990,49990,0%,1.2,34990,30%,3.8,62487,131212,68725,MEDIUM,Product is 49 weeks old; Discounted in other channels,0.979,decrease
BMGCL056160S3,B059,Bamers Alto las Condes II,GIRL BABY AIRLINE LILAC 19,Footwear,Clogs,3,6,167,16990,16990,0%,3.5,11990,30%,10.5,59465,125895,66430,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.963,decrease
BMWSS075301W25,B010,Bamers Portal Osorno,WOMEN PIAMONTE LEATHER BLACK 35,Footwear,Slipper,1,6,50,49990,39990,20%,1.0,34990,30%,3.0,39992,104970,64978,MEDIUM,Product is 50 weeks old,1.0,decrease
BMWSS075301W25,B046,Bamers Plaza Vespucio II,WOMEN PIAMONTE LEATHER BLACK 35,Footwear,Slipper,1,6,50,49990,39990,20%,1.0,34990,30%,3.0,40000,104970,64970,MEDIUM,Size curve breaking (40% attrition); Product is 50 weeks old,0.999,decrease
BMWSS075378,B012,Bamers Mall Center Concep,WOMEN PIAMONTE LEATHER BEIGE 35,Footwear,Slipper,1,6,49,49990,39990,20%,1.0,34990,30%,3.0,40000,104970,64970,MEDIUM,Product is 49 weeks old,0.954,decrease
BMWSN074601W25,B056,Bamers Rosas,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,63,24990,17990,30%,1.5,14990,40%,6.0,26250,89940,63690,MEDIUM,Product is 63 weeks old,0.997,decrease
BMWSN074601W25,B058,Bamers Florida Center II,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,62,24990,17990,30%,1.5,14990,40%,6.0,26250,89940,63690,MEDIUM,Size curve breaking (33% attrition); Product is 62 weeks old,1.0,decrease
BMWSN095816W26,B049,Bamers El Trebol II,WOMEN VERACRUZ WHITE,Footwear,Sneakers,1,6,8,24990,17990,30%,1.5,14990,40%,6.0,26250,89940,63690,MEDIUM,In decline stage,1.0,decrease
BMGCL036464W25,B055,Bamers Costanera Center I,GIRL AIRLINE HIGH LIGHT GREY 32,Footwear,Clogs,1,6,64,29990,29990,0%,1.5,17990,40%,6.0,44985,107940,62955,MEDIUM,Product is 64 weeks old; Discounted in other channels,0.983,decrease
BMGKCL031958S3,B054,Bamers Mall Plaza La Sere,GIRL AIRLINE LIGHT PINK,Footwear,Clogs,2,5,166,19990,19990,0%,2.2,11990,40%,9.0,44977,107910,62932,MEDIUM,Product is 166 weeks old; Discounted in other channels,0.995,decrease
BMBTCL031980S2,B008,Bamers Arauco Maipu,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,1,6,167,24990,24990,0%,1.8,14990,40%,7.0,43732,104930,61197,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.999,decrease
BMBCL031980S2,B002,Bamers Apumanque,UNISEX AIRLINE NAVY WHITE 25,Footwear,Clogs,2,5,167,19990,19990,0%,2.8,13990,30%,8.2,54972,115417,60445,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.996,decrease
BMGCL056160S3,B055,Bamers Costanera Center I,GIRL BABY AIRLINE LILAC 19,Footwear,Clogs,3,6,167,16990,16990,0%,4.2,13990,20%,9.4,72207,130806,58599,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.998,decrease
BMWSN074601W25,B055,Bamers Costanera Center I,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,63,24990,16990,30%,1.2,14990,40%,5.0,21237,74950,53712,MEDIUM,Product is 63 weeks old,1.0,decrease
BMWSN074601W25,B010,Bamers Portal Osorno,WOMEN MUNICH II BLACK 35,Footwear,Sneakers,1,6,62,24990,17990,30%,1.2,14990,40%,5.0,21875,74950,53075,MEDIUM,Product is 62 weeks old,1.0,decrease
BMWSN079516W25,B049,Bamers El Trebol II,WOMEN NEW CANVAS PLATFORM II WHITE 38,Footwear,Sneakers,1,6,59,24990,17990,30%,1.2,14990,40%,5.0,21875,74950,53075,MEDIUM,Size curve breaking (50% attrition); Product is 59 weeks old,1.0,decrease
BMBTCL031980S2,B054,Bamers Mall Plaza La Sere,UNISEX AIRLINE NAVY WHITE 30,Footwear,Clogs,1,6,167,24990,24990,0%,1.5,14990,40%,6.0,37485,89940,52455,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.991,decrease
BMGCL056160S3,B024,Bamers Plaza Oeste,GIRL BABY AIRLINE LILAC 19,Footwear,Clogs,2,6,167,16990,16990,0%,2.8,11990,30%,8.2,46722,98917,52195,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.997,decrease
BMWSS061601S3,B022,Bamers Plaza Egaña,WOMEN SLIPPER CLASSIC BUCKLE BLACK 41,Footwear,Slipper,1,7,167,39990,33990,15%,1.0,27990,30%,3.0,33992,83970,49978,MEDIUM,Size curve breaking (33% attrition); Product is 167 weeks old,1.0,decrease
BMWSS061601S3,B050,Bamers Curico II,WOMEN SLIPPER CLASSIC BUCKLE BLACK 41,Footwear,Slipper,1,7,167,39990,36990,0%,1.5,31990,20%,3.3,55990,105567,49577,MEDIUM,Product is 167 weeks old,1.0,decrease
BMBCL031944S3,B010,Bamers Portal Osorno,BOY AIRLINE RED 29,Footwear,Clogs,1,5,167,19990,19990,0%,1.8,11990,40%,7.0,34982,83930,48947,MEDIUM,Product is 167 weeks old; Discounted in other channels,0.998,decrease
BMGCL056160S3,B022,Bamers Plaza Egaña,GIRL BABY AIRLINE LILAC 19,Footwear,Clogs,2,6,167,16990,14990,15%,2.2,11990,30%,6.8,34413,80932,46518,MEDIUM,Product is 167 weeks old,0.999,decrease
